P,GF,GA,PP,PK
113,248,187,16.81,84.26
110,214,184,16.46,83.66
109,239,197,22.31,83.66
109,228,221,15.74,81.02
108,259,206,18.79,83.66
104,226,202,16.22,80.77
102,220,186,17.62,83.41
101,245,224,18.73,77.98
101,237,199,25.32,81.2
101,236,220,19.33,85.71
100,231,211,23.81,80.9
100,227,198,15.85,86.32
99,232,208,16.79,82.88
99,223,204,17.84,81.82
98,217,204,19.29,84.84
97,237,213,18.82,80.65
96,209,201,17.84,81.97
95,218,197,19.03,80.93
92,257,257,18.97,80.71
91,198,213,16.26,80
90,209,223,14.98,84.65
89,224,226,21.65,78.48
89,227,248,21.72,80.2
84,212,223,23.44,77.07
78,176,209,19.34,80.6
71,183,219,18.75,84.74
68,206,257,15.9,80.45
62,193,276,17.67,76.71
56,165,267,20,76.7
54,153,269,13.39,75.1
